Imputation_ID,Site_ID,Target_Column_1,Target_Column_2,Iteration_Completed,Algorithm,Note
3,Central,Imputed_Value_3_0,0,50,SIMICE,R-compliant SIMICE imputation 3 stored at central site
3,Central,Imputed_Value_3_1,1,50,SIMICE,R-compliant SIMICE imputation 3 stored at central site
3,Central,Imputed_Value_3_2,0,50,SIMICE,R-compliant SIMICE imputation 3 stored at central site
3,Central,Imputed_Value_3_3,1,50,SIMICE,R-compliant SIMICE imputation 3 stored at central site
3,Central,Imputed_Value_3_4,0,50,SIMICE,R-compliant SIMICE imputation 3 stored at central site
3,Central,Imputed_Value_3_5,1,50,SIMICE,R-compliant SIMICE imputation 3 stored at central site
3,Central,Imputed_Value_3_6,0,50,SIMICE,R-compliant SIMICE imputation 3 stored at central site
3,Central,Imputed_Value_3_7,1,50,SIMICE,R-compliant SIMICE imputation 3 stored at central site
3,Central,Imputed_Value_3_8,0,50,SIMICE,R-compliant SIMICE imputation 3 stored at central site
3,Central,Imputed_Value_3_9,1,50,SIMICE,R-compliant SIMICE imputation 3 stored at central site
