Imputation_ID,Site_ID,Target_Column_1,Target_Column_2,Iteration_Completed,Algorithm,Note
1,Central,Imputed_Value_1_0,0,50,SIMICE,R-compliant SIMICE imputation 1 stored at central site
1,Central,Imputed_Value_1_1,1,50,SIMICE,R-compliant SIMICE imputation 1 stored at central site
1,Central,Imputed_Value_1_2,0,50,SIMICE,R-compliant SIMICE imputation 1 stored at central site
1,Central,Imputed_Value_1_3,1,50,SIMICE,R-compliant SIMICE imputation 1 stored at central site
1,Central,Imputed_Value_1_4,0,50,SIMICE,R-compliant SIMICE imputation 1 stored at central site
1,Central,Imputed_Value_1_5,1,50,SIMICE,R-compliant SIMICE imputation 1 stored at central site
1,Central,Imputed_Value_1_6,0,50,SIMICE,R-compliant SIMICE imputation 1 stored at central site
1,Central,Imputed_Value_1_7,1,50,SIMICE,R-compliant SIMICE imputation 1 stored at central site
1,Central,Imputed_Value_1_8,0,50,SIMICE,R-compliant SIMICE imputation 1 stored at central site
1,Central,Imputed_Value_1_9,1,50,SIMICE,R-compliant SIMICE imputation 1 stored at central site
