Imputation_ID,Site_ID,Target_Column_1,Target_Column_2,Iteration_Completed,Algorithm,Note
2,Central,Imputed_Value_2_0,0,50,SIMICE,R-compliant SIMICE imputation 2 stored at central site
2,Central,Imputed_Value_2_1,1,50,SIMICE,R-compliant SIMICE imputation 2 stored at central site
2,Central,Imputed_Value_2_2,0,50,SIMICE,R-compliant SIMICE imputation 2 stored at central site
2,Central,Imputed_Value_2_3,1,50,SIMICE,R-compliant SIMICE imputation 2 stored at central site
2,Central,Imputed_Value_2_4,0,50,SIMICE,R-compliant SIMICE imputation 2 stored at central site
2,Central,Imputed_Value_2_5,1,50,SIMICE,R-compliant SIMICE imputation 2 stored at central site
2,Central,Imputed_Value_2_6,0,50,SIMICE,R-compliant SIMICE imputation 2 stored at central site
2,Central,Imputed_Value_2_7,1,50,SIMICE,R-compliant SIMICE imputation 2 stored at central site
2,Central,Imputed_Value_2_8,0,50,SIMICE,R-compliant SIMICE imputation 2 stored at central site
2,Central,Imputed_Value_2_9,1,50,SIMICE,R-compliant SIMICE imputation 2 stored at central site
